MatchID,TeamID,Free Kick,Duel,Pass,Others on the ball,Foul,Goalkeeper leaving line,Offside,Save attempt,Shot,Substitution,Interruption,Goal kick,Air duel,Throw in,Head pass,Ground loose ball duel,Simple pass,Launch,High pass,Touch,Ground defending duel,Hand pass,Ground attacking duel,Foul,Free kick cross,Goalkeeper leaving line,,Free Kick,Smart pass,Cross,Save attempt,Corner,Clearance,Shot,Acceleration,Reflexes,Substitution,Late card foul,Simulation,Free kick shot,Protest,Hand foul,Penalty,Violent Foul,Whistle,Out of game foul,Ball out of the field,Time lost foul
1,Huskies,62,236,482,61,26,10,2,4,16,6,,10,62,24,31,42,379,10,37,42,79,4,53,26,2,10,2,62,4,17,4,6,16,16,3,,6,,,,,,,,,,,
1,Opponent1,65,242,267,59,20,2,6,6,20,4,,8,65,28,25,46,174,8,33,37,49,3,82,20,4,2,6,65,5,19,6,7,17,20,5,2,4,,,,,,,,,,,
2,Huskies,53,190,276,57,19,4,3,10,14,6,,17,40,29,30,41,179,30,27,32,70,2,39,19,4,4,3,53,3,5,10,1,20,14,5,4,6,1,1,,1,,,,,,,
2,Opponent2,55,194,521,68,14,4,,3,36,6,,5,42,28,22,43,432,7,22,58,34,5,75,14,2,4,,55,14,19,3,7,4,36,6,1,6,,,1,,,,,,,,
3,Huskies,45,169,419,52,15,6,,11,14,6,,5,29,20,17,34,332,16,35,29,66,8,40,15,5,6,,45,2,9,11,3,22,14,1,3,6,,,,1,,,,,,,
3,Opponent3,50,194,563,63,21,2,,2,36,6,,6,29,26,17,41,471,12,28,35,45,5,79,21,,2,,50,14,16,2,6,16,36,12,,6,,,,,1,,,,,,
4,Huskies,57,207,446,46,28,2,4,7,18,6,,10,44,17,30,35,337,13,34,34,75,6,53,28,1,2,4,57,5,21,7,7,10,18,2,5,6,,,,,,,,,,,
4,Opponent4,64,221,455,79,24,,3,,30,6,,7,46,23,42,43,323,8,42,57,56,7,76,24,2,,3,64,11,22,,3,17,30,5,,6,,,1,,2,,,,,,
5,Huskies,44,187,469,75,25,2,4,8,12,6,,9,28,17,24,25,387,12,28,49,72,4,62,25,3,2,4,44,6,8,8,1,23,12,3,4,6,,,,,1,,,,,,
5,Opponent5,53,199,468,60,30,4,2,4,24,6,,6,28,18,18,31,379,5,35,39,61,1,79,30,2,4,2,53,7,23,4,4,10,24,11,2,6,,,2,,,1,,,,,
6,Huskies,36,239,414,51,24,6,3,7,30,6,,6,49,23,21,29,303,14,46,42,90,1,71,24,3,6,3,36,11,18,7,4,6,30,3,1,6,,,,,,,,,,,
6,Opponent6,45,217,397,83,21,10,1,6,16,6,,4,40,16,28,23,298,6,33,56,64,5,90,21,1,10,1,45,10,17,6,6,11,16,16,4,6,,,,1,,,,,,,
7,Huskies,43,234,501,88,22,6,1,2,48,6,,6,94,15,45,37,366,17,34,71,46,3,57,22,1,6,1,43,5,31,2,9,10,48,7,2,6,,,,,2,,,,,,
7,Opponent7,61,199,281,71,14,12,1,7,8,2,,18,66,18,38,28,165,22,38,41,57,1,48,14,4,12,1,61,4,13,7,3,27,8,3,1,2,,1,,1,,,,,,,
8,Huskies,55,238,424,54,19,6,1,4,22,6,,6,56,22,33,40,321,10,33,37,60,6,82,19,6,6,1,55,6,15,4,1,13,22,4,2,6,,,1,,1,1,,,,,
8,Opponent8,50,232,379,75,24,2,5,8,22,6,,9,45,17,25,41,271,24,35,54,82,3,64,24,3,2,5,50,3,18,8,7,11,22,10,6,6,1,,,,,,1,,,,
9,Huskies,47,183,267,66,30,4,2,18,14,6,,10,36,14,29,30,182,19,19,44,62,3,55,30,6,4,2,47,3,12,18,,19,14,3,10,6,,,1,,,,,,,,
9,Opponent9,66,186,603,67,28,,1,5,52,4,,5,35,28,40,36,481,16,40,47,50,4,65,28,2,,1,66,7,15,5,7,11,52,9,1,4,,,2,,2,,,,,,
10,Huskies,63,244,456,63,21,4,1,3,26,6,,6,59,30,26,59,349,15,43,51,67,1,59,21,3,4,1,63,5,17,3,10,8,26,4,3,6,,,,1,,,,,,,
10,Opponent10,48,257,298,74,12,8,4,4,14,6,,11,61,20,27,65,206,11,39,42,61,1,70,12,2,8,4,48,3,11,4,3,25,14,7,,6,,,,,,,,,,,
11,Huskies,54,268,285,57,26,10,5,5,16,6,,16,62,21,28,60,184,24,35,43,89,1,57,26,6,10,5,54,6,7,5,2,13,16,1,1,6,,,,,,1,,,,,
